skills_match_score,years_of_experience,education_level,role_relevance_score,past_job_history_score,match_label
71,14,Bachelor's,60,97,Moderate Match
34,2,Master's,47,61,Weak Match
91,11,PhD,73,65,Moderate Match
80,0,PhD,47,24,Weak Match
40,3,Master's,59,38,Weak Match
94,14,Bachelor's,91,17,Moderate Match
94,12,Master's,39,14,Moderate Match
43,4,PhD,88,38,Moderate Match
22,6,High School,60,56,Weak Match
41,0,High School,72,77,Moderate Match
72,2,Master's,61,85,Moderate Match
21,1,PhD,47,54,Weak Match
49,8,High School,97,11,Moderate Match
57,9,PhD,88,36,Moderate Match
21,14,Master's,39,45,Weak Match
83,5,High School,60,45,Moderate Match
79,9,PhD,90,35,Moderate Match
40,2,High School,14,52,Weak Match
52,7,Master's,38,36,Weak Match
95,13,PhD,13,78,Moderate Match
77,7,High School,19,29,Weak Match
41,1,Master's,65,20,Weak Match
68,14,High School,26,83,Moderate Match
78,5,High School,83,47,Moderate Match
61,6,Bachelor's,26,15,Weak Match
79,1,Bachelor's,93,81,Moderate Match
99,14,Master's,97,32,Strong Match
34,10,Bachelor's,78,56,Moderate Match
81,9,Master's,43,99,Moderate Match
81,1,Bachelor's,15,55,Weak Match
66,9,High School,62,21,Moderate Match
81,0,Master's,75,99,Moderate Match
70,7,Master's,86,22,Moderate Match
74,0,High School,52,71,Moderate Match
83,8,Master's,84,91,Strong Match
22,10,Master's,32,98,Weak Match
70,5,Bachelor's,64,69,Moderate Match
26,6,Master's,89,52,Moderate Match
40,12,PhD,84,85,Moderate Match
92,9,High School,25,77,Moderate Match
58,6,Bachelor's,17,14,Weak Match
37,9,Bachelor's,13,46,Weak Match
23,2,PhD,13,81,Weak Match
79,1,High School,65,40,Moderate Match
33,8,High School,34,18,Weak Match
28,7,Bachelor's,76,60,Moderate Match
72,12,Master's,76,38,Moderate Match
21,11,Bachelor's,36,87,Weak Match
79,9,High School,41,49,Moderate Match
90,6,PhD,59,50,Moderate Match
63,8,Bachelor's,70,95,Moderate Match
27,3,High School,60,20,Weak Match
66,12,Bachelor's,28,32,Weak Match
54,3,Master's,30,10,Weak Match
97,0,Bachelor's,14,55,Moderate Match
55,7,Bachelor's,91,30,Moderate Match
69,13,High School,51,99,Moderate Match
23,13,High School,70,45,Weak Match
21,11,High School,31,63,Weak Match
25,2,Bachelor's,30,96,Weak Match
73,6,Master's,79,66,Moderate Match
23,14,PhD,10,10,Weak Match
73,11,PhD,14,72,Moderate Match
82,1,High School,21,63,Moderate Match
37,1,High School,99,64,Moderate Match
63,6,Bachelor's,55,49,Moderate Match
53,14,PhD,43,24,Weak Match
93,5,High School,58,30,Moderate Match
81,2,Master's,87,56,Moderate Match
33,8,Master's,99,82,Moderate Match
67,9,High School,54,62,Moderate Match
34,14,High School,36,18,Weak Match
91,13,PhD,82,83,Strong Match
97,12,PhD,35,61,Moderate Match
81,5,Bachelor's,56,66,Moderate Match
59,9,PhD,95,35,Moderate Match
99,9,Master's,65,50,Moderate Match
72,5,Master's,72,44,Moderate Match
43,0,High School,57,72,Weak Match
45,3,PhD,70,34,Weak Match
79,9,Bachelor's,90,99,Strong Match
60,5,Master's,35,84,Moderate Match
48,14,Master's,45,47,Weak Match
34,5,Bachelor's,10,11,Weak Match
64,10,Bachelor's,17,16,Weak Match
84,11,Master's,61,91,Moderate Match
90,4,Master's,88,43,Moderate Match
28,0,Bachelor's,56,26,Weak Match
